cpu_util_percent,mem_util_percent
20,56
14,64
12,64
10,64
7,65
8,64
16,65
7,65
6,65
5,66
6,65
7,66
5,66
9,66
11,67
10,67
9,67
11,66
8,68
6,69
9,68
6,68
12,68
9,69
12,69
11,69
14,70
13,71
11,71
7,71
14,72
11,72
18,72
14,72
12,72
8,72
8,72
11,72
12,73
17,73
16,74
12,75
13,76
14,76
20,77
18,76
10,76
13,76
18,76
18,76
15,77
15,78
11,78
16,78
20,78
12,79
21,79
9,80
16,79
20,79
13,80
15,81
18,80
17,80
13,82
11,82
11,81
10,82
15,82
19,82
12,82
19,82
12,82
20,83
13,84
16,55
12,56
14,57
15,58
16,58
8,59
7,59
9,60
13,60
7,60
9,60
9,61
16,61
15,62
8,62
9,63
11,63
11,64
11,63
10,64
9,64
14,64
10,64
13,65
10,66
7,65
12,65
8,67
12,66
13,68
15,67
13,68
13,67
11,69
13,70
17,70
8,70
13,69
8,70
19,70
10,70
17,72
9,71
14,71
8,71
7,71
8,72
11,72
10,71
6,71
5,72
5,72
5,72
4,100
7,100
7,100
3,100
10,100
6,100
6,100
6,100
5,100
4,100
5,100
6,100
6,100
4,100
6,100
6,100
4,93
8,93
3,93
5,94
5,94
4,94
4,95
4,96
4,96
4,100
4,98
5,98
4,98
4,98
4,98
7,99
6,99
4,99
5,99
5,99
7,100
5,100
5,100
6,100
4,100
7,100
7,100
7,99
7,100
7,100
7,99
6,100
7,100
8,96
7,96
8,97
8,97
9,97
6,97
9,98
8,99
9,98
9,98
10,98
7,98
7,97
9,97
7,97
7,98
8,99
7,98
7,97
5,96
5,97
6,97
4,97
5,96
7,96
7,97
6,98
4,96
5,96
5,96
6,96
6,97
6,97
6,96
6,96
6,96
6,97
6,97
6,97
6,98
6,98
7,99
6,99
5,98
5,99
6,99
6,98
4,98
4,93
4,93
7,94
5,94
4,94
5,94
4,94
4,94
6,94
6,94
4,95
4,49
3,51
5,53
2,56
2,56
2,57
4,57
2,58
2,58
5,58
5,58
4,59
2,59
2,59
3,59
2,59
4,60
2,59
4,60
2,61
5,61
4,61
4,62
3,62
4,62
5,62
2,62
3,62
4,63
3,63
4,63
4,63
3,63
3,64
2,64
2,64
2,64
2,65
3,65
2,65
3,65
3,66
4,66
2,67
3,67
4,68
5,68
2,68
2,68
3,68
4,69
2,69
3,69
3,70
4,70
3,70
2,70
3,71
2,71
2,71
3,71
4,72
2,72
3,72
3,72
3,71
3,72
2,72
4,72
5,73
3,71
3,71
3,72
2,72
3,72
4,72
2,72
4,72
2,73
2,73
4,73
2,73
2,73
5,72
3,73
4,73
2,73
2,73
2,74
3,73
2,73
2,74
4,74
2,74
3,74
3,74
2,74
3,74
4,74
3,74
2,74
3,74
2,74
2,75
2,75
2,74
2,75
4,75
2,75
3,75
2,74
3,74
4,75
4,75
3,75
2,76
3,76
2,76
2,76
4,76
2,76
2,77
2,76
2,76
2,76
2,76
17,62
6,63
6,64
4,64
4,65
4,65
4,66
5,66
3,66
6,67
5,67
3,68
4,69
4,69
4,69
5,69
5,70
6,70
4,69
5,70
3,71
5,71
4,71
4,71
5,72
4,72
6,72
6,72
4,72
5,73
4,73
5,73
8,74
3,73
6,74
5,73
7,74
7,74
9,74
6,75
8,76
7,76
10,75
6,76
12,76
14,76
12,77
22,77
9,78
14,78
9,78
7,78
7,79
9,79
10,79
6,80
11,80
6,80
7,80
6,80
8,80
9,81
8,81
9,81
8,81
6,82
7,82
4,82
8,82
9,82
9,83
8,84
9,83
8,84
9,84
14,85
9,85
12,85
9,86
7,87
8,87
8,88
6,87
9,88
4,89
9,88
5,88
7,90
7,90
7,90
5,90
8,90
6,90
10,90
11,89
6,90
8,88
7,89
7,89
6,89
5,89
8,88
8,88
8,89
7,90
7,91
5,91
5,90
8,89
10,90
8,89
6,91
5,91
5,91
5,91
4,91
11,91
8,91
7,91
7,91
4,91
5,91
5,91
21,71
14,76
18,77
19,78
